Active,Name,Date-Time(UTC),Alt,Azmu,HTML,StarNo,RA(J2000),DEC(J2000),T_MAX(HJD),T_MAX(UT),tau,U_min,A_MAX,D_mag,f_bl,I_bl,I_o
True,BLG-1578,9-24-2015 0:54:0,22.8925946914,195.098918051,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-24-2015 0:54:0,22.3931775828,192.148841941,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-25-2015 0:0:0,22.1589970639,204.362538774,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-25-2015 0:0:0,22.6865760847,196.027699546,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-25-2015 0:0:0,22.2255231202,193.074304805,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-25-2015 0:54:0,22.1589970639,204.362538774,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-25-2015 0:54:0,22.6865760847,196.027699546,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-25-2015 0:54:0,22.2255231202,193.074304805,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-26-2015 0:0:0,21.8367682299,205.262101635,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-26-2015 0:0:0,22.4686241127,196.951840823,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-26-2015 0:0:0,22.0458122866,193.995978173,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-26-2015 0:54:0,21.8367682299,205.262101635,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-26-2015 0:54:0,22.4686241127,196.951840823,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-26-2015 0:54:0,22.0458122866,193.995978173,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-27-2015 0:0:0,21.5036771737,206.155002238,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-27-2015 0:0:0,22.2388564429,197.871132547,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-27-2015 0:0:0,21.8541424378,194.913634229,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-27-2015 0:54:0,21.5036771737,206.155002238,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-27-2015 0:54:0,22.2388564429,197.871132547,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-27-2015 0:54:0,21.8541424378,194.913634229,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-28-2015 0:0:0,21.1598858977,207.041129981,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-28-2015 0:0:0,21.9973955049,198.785375494,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-28-2015 0:0:0,21.6506162905,195.827053732,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-28-2015 0:54:0,21.1598858977,207.041129981,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-28-2015 0:54:0,21.9973955049,198.785375494,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-28-2015 0:54:0,21.6506162905,195.827053732,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-1578,9-29-2015 0:0:0,21.7443682009,199.694380765,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-29-2015 0:0:0,21.4353416699,196.736026339,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-1578,9-29-2015 0:54:0,21.7443682009,199.694380765,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-29-2015 0:54:0,21.4353416699,196.736026339,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
